Date,Category,Year,Month,Day,IsHoliday,PredictedOrderQuantity
2024-02-09,Bed,2024,2,9,0,21.09631120345189
2024-02-09,Desk,2024,2,9,0,21.567491698176056
2024-02-10,Table,2024,2,10,1,21.982112169913425
2024-02-10,Chair,2024,2,10,1,25.59254067460317
2024-02-10,Sofa,2024,2,10,1,23.46360784632035
2024-02-10,Cabinet,2024,2,10,1,21.109177845210343
2024-02-10,Bed,2024,2,10,1,21.145509410956684
2024-02-10,Desk,2024,2,10,1,21.528045815135265
2024-02-11,Table,2024,2,11,1,21.98505591991342
2024-02-11,Chair,2024,2,11,1,26.026153769841265
2024-02-11,Sofa,2024,2,11,1,23.560812012987018
2024-02-11,Cabinet,2024,2,11,1,21.136972466422463
2024-02-11,Bed,2024,2,11,1,21.146653577623347
2024-02-11,Desk,2024,2,11,1,21.458021311617948
2024-02-12,Table,2024,2,12,0,22.363505922178387
2024-02-12,Chair,2024,2,12,0,23.689174804362295
2024-02-12,Sofa,2024,2,12,0,22.56690907601171
2024-02-12,Cabinet,2024,2,12,0,21.075741590929198
2024-02-12,Bed,2024,2,12,0,21.106576921807324
2024-02-12,Desk,2024,2,12,0,21.5253229566745
2024-02-13,Table,2024,2,13,0,22.38561018688428
2024-02-13,Chair,2024,2,13,0,23.610373217060715
2024-02-13,Sofa,2024,2,13,0,22.559442409345046
2024-02-13,Cabinet,2024,2,13,0,21.061067636680832
2024-02-13,Bed,2024,2,13,0,21.102600747360853
2024-02-13,Desk,2024,2,13,0,21.500352014613462
2024-02-14,Table,2024,2,14,0,22.371053790780387
2024-02-14,Chair,2024,2,14,0,23.819619248806745
2024-02-14,Sofa,2024,2,14,0,22.473889379042017
2024-02-14,Cabinet,2024,2,14,0,21.08106808021391
2024-02-14,Bed,2024,2,14,0,21.099155790095892
2024-02-14,Desk,2024,2,14,0,21.42341915105137
2024-02-15,Table,2024,2,15,0,22.372408552685155
2024-02-15,Chair,2024,2,15,0,24.139459908147405
2024-02-15,Sofa,2024,2,15,0,22.49559175999439
2024-02-15,Cabinet,2024,2,15,0,21.0882128818012
2024-02-15,Bed,2024,2,15,0,21.0957426948578
2024-02-15,Desk,2024,2,15,0,21.412961291202887
2024-02-16,Table,2024,2,16,0,22.206871165849012
2024-02-16,Chair,2024,2,16,0,24.290221812909305
2024-02-16,Sofa,2024,2,16,0,22.55193631127644
2024-02-16,Cabinet,2024,2,16,0,21.082231088871907
2024-02-16,Bed,2024,2,16,0,21.09678585828431
2024-02-16,Desk,2024,2,16,0,21.41548767352377
2024-02-17,Table,2024,2,17,1,22.613633726689983
2024-02-17,Chair,2024,2,17,1,25.761505411255417
2024-02-17,Sofa,2024,2,17,1,22.927090909090918
2024-02-17,Cabinet,2024,2,17,1,21.11037936396937
2024-02-17,Bed,2024,2,17,1,21.174652259162414
2024-02-17,Desk,2024,2,17,1,21.623910385061805
2024-02-18,Table,2024,2,18,1,22.611235810023313
2024-02-18,Chair,2024,2,18,1,25.294362554112553
2024-02-18,Sofa,2024,2,18,1,23.221201861471865
2024-02-18,Cabinet,2024,2,18,1,21.11361503246753
2024-02-18,Bed,2024,2,18,1,21.17916888004153
2024-02-18,Desk,2024,2,18,1,21.587447289823707
2024-02-19,Table,2024,2,19,0,21.964517402704246
2024-02-19,Chair,2024,2,19,0,23.42887563131313
2024-02-19,Sofa,2024,2,19,0,22.662611552701687
2024-02-19,Cabinet,2024,2,19,0,21.09938315236398
2024-02-19,Bed,2024,2,19,0,21.08173786855732
2024-02-19,Desk,2024,2,19,0,21.478707753318467
2024-02-20,Table,2024,2,20,0,21.970672984714824
2024-02-20,Chair,2024,2,20,0,23.30599467893218
2024-02-20,Sofa,2024,2,20,0,22.77979488603502
2024-02-20,Cabinet,2024,2,20,0,21.0854934698243
2024-02-20,Bed,2024,2,20,0,21.0873692466237
2024-02-20,Desk,2024,2,20,0,21.575796687105097
2024-02-21,Table,2024,2,21,0,21.998199802896647
2024-02-21,Chair,2024,2,21,0,23.06680237123987
2024-02-21,Sofa,2024,2,21,0,22.719010362225493
2024-02-21,Cabinet,2024,2,21,0,21.071185435913762
2024-02-21,Bed,2024,2,21,0,21.116450223424682
2024-02-21,Desk,2024,2,21,0,21.730393600955136
2024-02-22,Table,2024,2,22,0,22.025538969563314
2024-02-22,Chair,2024,2,22,0,23.1298563034188
2024-02-22,Sofa,2024,2,22,0,22.43945616054482
2024-02-22,Cabinet,2024,2,22,0,21.085652181945512
2024-02-22,Bed,2024,2,22,0,21.12484096480136
2024-02-22,Desk,2024,2,22,0,21.79370187896185
2024-02-23,Table,2024,2,23,0,21.963102719563313
2024-02-23,Chair,2024,2,23,0,22.880106303418803
2024-02-23,Sofa,2024,2,23,0,22.384398668037324
2024-02-23,Cabinet,2024,2,23,0,21.114293316144654
2024-02-23,Bed,2024,2,23,0,21.128282631468025
2024-02-23,Desk,2024,2,23,0,21.828613790193735
2024-02-24,Table,2024,2,24,1,22.55694136904762
2024-02-24,Chair,2024,2,24,1,24.550922077922078
2024-02-24,Sofa,2024,2,24,1,22.970018164841694
2024-02-24,Cabinet,2024,2,24,1,21.185948809523808
2024-02-24,Bed,2024,2,24,1,21.20667377181642
2024-02-24,Desk,2024,2,24,1,21.90771979523496
2024-02-25,Table,2024,2,25,1,22.580654345238095
2024-02-25,Chair,2024,2,25,1,25.036387896825396
2024-02-25,Sofa,2024,2,25,1,23.24657530769884
2024-02-25,Cabinet,2024,2,25,1,21.106883452380945
2024-02-25,Bed,2024,2,25,1,21.251671912842056
2024-02-25,Desk,2024,2,25,1,21.935937563092104
2024-02-26,Table,2024,2,26,0,21.94204219785464
2024-02-26,Chair,2024,2,26,0,24.13688534382285
2024-02-26,Sofa,2024,2,26,0,22.196793451543293
2024-02-26,Cabinet,2024,2,26,0,21.129179041442743
2024-02-26,Bed,2024,2,26,0,21.155003551426987
2024-02-26,Desk,2024,2,26,0,21.798597553929994
2024-02-27,Table,2024,2,27,0,21.968560528674278
2024-02-27,Chair,2024,2,27,0,24.01750835969587
2024-02-27,Sofa,2024,2,27,0,22.383158677107208
2024-02-27,Cabinet,2024,2,27,0,21.074119120807826
2024-02-27,Bed,2024,2,27,0,21.15727374983969
2024-02-27,Desk,2024,2,27,0,21.71292452857815
2024-02-28,Table,2024,2,28,0,21.77958137727013
2024-02-28,Chair,2024,2,28,0,24.402766296203804
2024-02-28,Sofa,2024,2,28,0,22.407245978694508
2024-02-28,Cabinet,2024,2,28,0,21.021230558872684
2024-02-28,Bed,2024,2,28,0,21.030369996706852
2024-02-28,Desk,2024,2,28,0,21.551043497474748
2024-02-29,Table,2024,2,29,0,21.66023078203203
2024-02-29,Chair,2024,2,29,0,24.239611534299044
2024-02-29,Sofa,2024,2,29,0,22.33922240726594
2024-02-29,Cabinet,2024,2,29,0,21.022875757285384
2024-02-29,Bed,2024,2,29,0,21.01590824075447
2024-02-29,Desk,2024,2,29,0,21.59352495580808
2024-03-01,Table,2024,3,1,0,22.974525941925066
2024-03-01,Chair,2024,3,1,0,26.335072291597307
2024-03-01,Sofa,2024,3,1,0,24.484318846023257
2024-03-01,Cabinet,2024,3,1,0,21.091225517267812
2024-03-01,Bed,2024,3,1,0,22.174645813460483
2024-03-01,Desk,2024,3,1,0,22.055594876624944
2024-03-02,Table,2024,3,2,1,23.474318981657706
2024-03-02,Chair,2024,3,2,1,29.141730654761904
2024-03-02,Sofa,2024,3,2,1,25.694891161616155
2024-03-02,Cabinet,2024,3,2,1,21.145853122710623
2024-03-02,Bed,2024,3,2,1,23.164446141774896
2024-03-02,Desk,2024,3,2,1,22.170614958166833
2024-03-03,Table,2024,3,3,1,23.6636251721339
2024-03-03,Chair,2024,3,3,1,29.278346726190474
2024-03-03,Sofa,2024,3,3,1,25.614465674603174
2024-03-03,Cabinet,2024,3,3,1,21.163555265567766
2024-03-03,Bed,2024,3,3,1,23.19248524891776
2024-03-03,Desk,2024,3,3,1,22.128429095071596
2024-03-04,Table,2024,3,4,0,22.502264080328814
2024-03-04,Chair,2024,3,4,0,24.985699933563165
2024-03-04,Sofa,2024,3,4,0,24.09455691465397
2024-03-04,Cabinet,2024,3,4,0,21.150613017267823
2024-03-04,Bed,2024,3,4,0,22.12946476492082
2024-03-04,Desk,2024,3,4,0,21.928490446324176
2024-03-05,Table,2024,3,5,0,22.603180671237904
2024-03-05,Chair,2024,3,5,0,25.439399338325085
2024-03-05,Sofa,2024,3,5,0,23.314704616951666
2024-03-05,Cabinet,2024,3,5,0,21.19427482823464
2024-03-05,Bed,2024,3,5,0,22.11429519195906
2024-03-05,Desk,2024,3,5,0,22.006126979062273
2024-03-06,Table,2024,3,6,0,22.54249327540457
2024-03-06,Chair,2024,3,6,0,24.417253096086917
2024-03-06,Sofa,2024,3,6,0,23.315843902665957
2024-03-06,Cabinet,2024,3,6,0,21.196008677119668
2024-03-06,Bed,2024,3,6,0,22.014807612871483
2024-03-06,Desk,2024,3,6,0,22.151037235472533
2024-03-07,Table,2024,3,7,0,22.644856053182355
2024-03-07,Chair,2024,3,7,0,24.353963016721835
2024-03-07,Sofa,2024,3,7,0,23.540870093142143
2024-03-07,Cabinet,2024,3,7,0,21.20298665331014
2024-03-07,Bed,2024,3,7,0,22.125097422506293
2024-03-07,Desk,2024,3,7,0,22.260986559065604
2024-03-08,Table,2024,3,8,0,22.553114648753443
2024-03-08,Chair,2024,3,8,0,24.1826177786266
2024-03-08,Sofa,2024,3,8,0,23.45486638435093
2024-03-08,Cabinet,2024,3,8,0,21.20380331997681
2024-03-08,Bed,2024,3,8,0,22.092804640650467
2024-03-08,Desk,2024,3,8,0,22.30724777318043
2024-03-09,Table,2024,3,9,1,23.990659070943433
2024-03-09,Chair,2024,3,9,1,30.467240575396815
2024-03-09,Sofa,2024,3,9,1,26.50921244588743
2024-03-09,Cabinet,2024,3,9,1,21.200232826895327
